redni,vrijeme,zadatak,koncept,modul,tier,tezina,naslov,navigacija,reason_preporuke_koja_je_dovela,pokusaj_br,greska_studenta,opis_greske,verdikt,error_type,detail,xp_delta,xp_ukupno,level,streak,novi_bedzevi,preporuka_task,preporuka_koncept,preporuka_reason,trajanje_ms
93,2026-08-18T18:05:32.548Z,14,order_by,1,easy,3,Proizvodi na zalihi — WHERE dolazi prije ORDER BY,klik po konceptu u Modulima (order_by),,1,smjer_sortiranja,krivi smjer sortiranja (ASC/DESC zamijenjeni),Djelomično,row_mismatch,Row 0 differs,30,2985,30,1,,39,cross_join,repeat_practice,244
94,2026-08-18T18:05:51.213Z,14,order_by,1,easy,3,Proizvodi na zalihi — WHERE dolazi prije ORDER BY,klik po konceptu u Modulima (order_by),,2,krivi_limit,krivo procitan broj redaka u LIMIT-u,Djelomično,row_mismatch,Row count mismatch: actual=5 vs expected=3,23,3008,31,1,,39,cross_join,repeat_practice,236
95,2026-08-18T18:06:11.787Z,14,order_by,1,easy,3,Proizvodi na zalihi — WHERE dolazi prije ORDER BY,klik po konceptu u Modulima (order_by),,3,,,Točno,,,30,3038,31,1,,39,cross_join,repeat_practice,250
96,2026-08-18T18:06:31.496Z,37,having_filter,2,medium,3,Zemlje s prosječnim ratingom dobavljača iznad 3.5,klik po konceptu u Modulima (having_filter),,1,,,Točno,,,60,3098,31,1,,39,cross_join,repeat_practice,247
97,2026-08-18T18:06:51.218Z,38,having_filter,2,medium,4,Top kategorije s visokim prosječnim prihodom — WHERE + GROUP BY + HAVING + ORDER,klik po konceptu u Modulima (having_filter),,1,,,Točno,,,80,3178,32,1,,39,cross_join,repeat_practice,239
98,2026-08-18T18:07:10.918Z,20,agg_count,2,medium,1,Ukupan broj recenzija u sustavu,klik po konceptu u Modulima (agg_count),,1,,,Točno,,,20,3198,32,1,,39,cross_join,repeat_practice,237
99,2026-08-18T18:07:32.446Z,21,agg_count,2,medium,2,Broj kupaca bez ikoje narudžbe,klik po konceptu u Modulima (agg_count),,1,,,Točno,,,40,3238,33,1,,39,cross_join,repeat_practice,229
100,2026-08-18T18:07:52.102Z,22,agg_count,2,medium,3,Broj narudžbi po statusu — uključujući 0 za neaktivne statuse,klik po konceptu u Modulima (agg_count),,1,zaboravljen_alias,zaboravljen AS alias na agregatu,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['count', 'status'], očekivani: ['broj_narudzbi', 'status']",0,3238,33,1,,39,cross_join,repeat_practice,238
101,2026-08-18T18:08:10.736Z,22,agg_count,2,medium,3,Broj narudžbi po statusu — uključujući 0 za neaktivne statuse,klik po konceptu u Modulima (agg_count),,2,,,Točno,,,45,3283,33,1,,39,cross_join,repeat_practice,216
102,2026-08-18T18:08:32.294Z,23,agg_count,2,medium,4,Broj distinct kupaca koji su naručivali u svakoj kategoriji,klik po konceptu u Modulima (agg_count),,1,zaboravljen_alias,zaboravljen AS alias na agregatu,Netočno,execution_error,"column ""broj_distinct_kupaca"" does not exist ⏎ LINE 1: ...i.order_id = o.id GROUP BY p.category_id ORDER BY broj_disti... ⏎                                                              ^",0,3283,33,1,,52,multi_table_join,partial_continuation,244
103,2026-08-18T18:08:51.018Z,23,agg_count,2,medium,4,Broj distinct kupaca koji su naručivali u svakoj kategoriji,klik po konceptu u Modulima (agg_count),,2,,,Točno,,,60,3343,34,1,,39,cross_join,repeat_practice,245
104,2026-08-18T18:09:10.750Z,26,agg_min_max,2,medium,3,Najveća pojedinačna stavka narudžbe po kategoriji proizvoda,klik po konceptu u Modulima (agg_min_max),,1,,,Točno,,,60,3403,35,1,,39,cross_join,repeat_practice,252
105,2026-08-18T18:09:30.495Z,46,inner_join,3,medium,3,Ukupan broj stavki narudžbi s valjanim proizvodom i kategorijom,klik po konceptu u Modulima (inner_join),,1,zaboravljen_alias,zaboravljen AS alias na agregatu,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['count'], očekivani: ['total_order_items']",0,3403,35,1,,39,cross_join,repeat_practice,-1628
106,2026-08-18T18:09:51.087Z,46,inner_join,3,medium,3,Ukupan broj stavki narudžbi s valjanim proizvodom i kategorijom,klik po konceptu u Modulima (inner_join),,2,,,Točno,,,45,3448,35,1,,39,cross_join,repeat_practice,216
107,2026-08-18T18:10:11.021Z,47,inner_join,3,medium,4,Ukupna prodana količina po kategoriji proizvoda,klik po konceptu u Modulima (inner_join),,1,zaboravljen_alias,zaboravljen AS alias na agregatu,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['category_id', 'category_name', 'sum'], očekivani: ['category_id', 'category_name', 'total_quantity_sold']",0,3448,35,1,,39,cross_join,repeat_practice,277
108,2026-08-18T18:10:29.726Z,47,inner_join,3,medium,4,Ukupna prodana količina po kategoriji proizvoda,klik po konceptu u Modulima (inner_join),,2,,,Točno,,,60,3508,36,1,,39,cross_join,repeat_practice,214
109,2026-08-18T18:10:51.734Z,50,left_join,3,hard,4,Broj narudžbi 'delivered' statusa po kupcu — ON vs WHERE filter,klik po konceptu u Modulima (left_join),,1,,,Točno,,,80,3588,36,1,,39,cross_join,repeat_practice,252
110,2026-08-18T18:11:11.540Z,43,full_outer_join,3,hard,5,FULL OUTER JOIN analiza: kategorizacija kupaca i narudžbi s agregatima,klik po konceptu u Modulima (full_outer_join),,1,,,Točno,,,100,3688,37,1,,39,cross_join,repeat_practice,226
111,2026-08-18T18:11:36.405Z,52,multi_table_join,3,hard,3,"Prebroji kupce, narudžbe i stavke spajanjem triju tablica",klik po konceptu u Modulima (multi_table_join),,1,bez_uvjeta_spajanja,zaboravljen uvjet spajanja u troclanom JOIN-u (kartezijev produkt),Netočno,timeout,Statement timeout after 5000ms: canceling statement due to statement timeout,0,3688,37,1,,52,multi_table_join,partial_continuation,5331
112,2026-08-18T18:11:55.218Z,52,multi_table_join,3,hard,3,"Prebroji kupce, narudžbe i stavke spajanjem triju tablica",klik po konceptu u Modulima (multi_table_join),,2,,,Točno,,,45,3733,38,1,,39,cross_join,repeat_practice,223
113,2026-08-18T18:12:17.245Z,53,multi_table_join,3,hard,4,Prihod i broj naručenih proizvoda po kategoriji (JOIN 4 tablice),klik po konceptu u Modulima (multi_table_join),,1,,,Točno,,,80,3813,39,1,,39,cross_join,repeat_practice,255
114,2026-08-18T18:12:36.986Z,54,multi_table_join,3,hard,4,Ukupni prihod i broj narudžbi po dobavljaču (JOIN 4 tablice),klik po konceptu u Modulima (multi_table_join),,1,,,Točno,,,80,3893,39,1,,39,cross_join,repeat_practice,237
115,2026-08-18T18:12:56.745Z,55,multi_table_join,3,hard,5,Prihod i prosječna ocjena po dobavljaču — 4-stolični JOIN,klik po konceptu u Modulima (multi_table_join),,1,zaboravljen_alias,zaboravljen AS alias na agregatu,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['avg_review_rating', 'count', 'supplier_name', 'total_quantity'], očekivani: ['avg_review_rating', 'distinct_products_sold', 'supplier_name', 'total_quantity']",0,3893,39,1,,39,cross_join,repeat_practice,254
116,2026-08-18T18:13:18.935Z,55,multi_table_join,3,hard,5,Prihod i prosječna ocjena po dobavljaču — 4-stolični JOIN,klik po konceptu u Modulima (multi_table_join),,2,,,Točno,,,75,3968,40,1,,39,cross_join,repeat_practice,227
117,2026-08-18T18:13:40.538Z,71,update,4,medium,4,Ažuriranje cijene i zalihe proizvoda koristeći subquery u SET klauzuli,klik po konceptu u Modulima (update),,1,,,Točno,,,80,4048,41,1,,39,cross_join,repeat_practice,252
118,2026-08-18T18:14:01.084Z,65,delete,4,medium,3,Brisanje specifične recenzije kupca za određeni proizvod,klik po konceptu u Modulima (delete),,1,,,Točno,,,60,4108,42,1,,39,cross_join,repeat_practice,229
119,2026-08-18T18:14:21.588Z,66,delete,4,medium,4,Kaskadno brisanje stavki i narudžbi otkazanog kupca (subquery),klik po konceptu u Modulima (delete),,1,,,Točno,,,80,4188,42,1,,39,cross_join,repeat_practice,220
120,2026-08-18T18:14:41.246Z,60,correlated_subquery,5,hard,3,Kupci bez ijedne narudžbe pomoću koreliranog podupita,klik po konceptu u Modulima (correlated_subquery),,1,,,Točno,,,60,4248,43,1,,39,cross_join,repeat_practice,223
121,2026-08-18T18:15:02.937Z,61,correlated_subquery,5,hard,4,Broj kupaca bez ijedne narudžbe koristeći korelirani NOT EXISTS,klik po konceptu u Modulima (correlated_subquery),,1,,,Točno,,,80,4328,44,1,,39,cross_join,repeat_practice,221
122,2026-08-18T18:15:22.792Z,62,correlated_subquery,5,hard,5,Kupci kod kojih svaka narudžba premašuje prosjek ostalih njihovih narudžbi,klik po konceptu u Modulima (correlated_subquery),,1,krivi_limit,krivo procitan broj redaka u LIMIT-u,Djelomično,row_mismatch,Row count mismatch: actual=7 vs expected=5,50,4378,44,1,,39,cross_join,repeat_practice,265
123,2026-08-18T18:15:46.363Z,62,correlated_subquery,5,hard,5,Kupci kod kojih svaka narudžba premašuje prosjek ostalih njihovih narudžbi,klik po konceptu u Modulima (correlated_subquery),,2,,,Točno,,,75,4453,45,1,,39,cross_join,repeat_practice,210
124,2026-08-18T18:20:17.615Z,3,null_handling,0,hard,3,Prikaz narudžbi s oznakom samousluge pomoću COALESCE,klik po konceptu u Modulima (null_handling),,1,,,Točno,,,60,4513,46,1,,39,cross_join,repeat_practice,229
125,2026-08-18T18:20:38.010Z,4,null_handling,0,hard,4,COUNT(*) vs COUNT(employee_id) — NULL zamka u agregaciji narudžbi,klik po konceptu u Modulima (null_handling),,1,zaboravljen_alias,zaboravljen AS alias na agregatu,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['assigned_orders', 'count', 'self_service_orders'], očekivani: ['assigned_orders', 'self_service_orders', 'total_orders']",0,4513,46,1,,39,cross_join,repeat_practice,245
126,2026-08-18T18:20:57.588Z,4,null_handling,0,hard,4,COUNT(*) vs COUNT(employee_id) — NULL zamka u agregaciji narudžbi,klik po konceptu u Modulima (null_handling),,2,tipfeler_stupca,tipfeler u nazivu stupca,Netočno,wrong_columns,"Stupci se razlikuju — dobiveni: ['assigned_orders', 'self_service_orders', 'totalorders'], očekivani: ['assigned_orders', 'self_service_orders', 'total_orders']",0,4513,46,1,,39,cross_join,repeat_practice,233
127,2026-08-18T18:21:19.709Z,4,null_handling,0,hard,4,COUNT(*) vs COUNT(employee_id) — NULL zamka u agregaciji narudžbi,klik po konceptu u Modulima (null_handling),,3,,,Točno,,,40,4553,46,1,,39,cross_join,repeat_practice,211
128,2026-08-18T18:21:40.791Z,3786,column_alias,0,easy,1,Preimenuj stupce u ispisu kupaca,klik po konceptu u Modulima (column_alias),,1,,,Točno,,,20,4573,46,1,,39,cross_join,repeat_practice,238
129,2026-08-18T18:22:01.281Z,3787,column_alias,0,easy,2,Alias nad izračunatim stupcem — cijena s PDV-om,klik po konceptu u Modulima (column_alias),,1,,,Točno,,,40,4613,47,1,,39,cross_join,repeat_practice,299
130,2026-08-18T18:22:21.546Z,3788,column_alias,0,easy,2,Sortiranje po aliasu stupca,klik po konceptu u Modulima (column_alias),,1,,,Točno,,,40,4653,47,1,,39,cross_join,repeat_practice,221
